StreetNumber,X2025MarketValue,TotalImprovMarketValue,TotalLandMarketValue,HomesteadCapLoss,TotalMainAreaSqFt,MainAreaSqFt,MainAreaValue,GarageSqFt1,GarageValue1,LandSqFt
6309,735026,677026,58000,0,3905,3192,558004,713,56089,10000
6310,663907,603222,60685,0,3898,3226,0,672,0,10463
6311,569992,511992,58000,0,3611,3036,447924,575,38175,10000
6312,602427,538677,63750,0,3786,2877,432168,909,61445,10625
6313,460288,415135,45153,0,2747,2241,376845,506,38290,7785
6314,968766,888796,79970,0,2591,2041,367600,550,44577,13788
6315,550119,505175,44944,0,3132,2582,433934,550,41595,7749
6316,709604,642133,67471,0,3472,3147,570725,325,26523,11633
6317,580969,536025,44944,0,3460,2910,474970,550,40397,7749
6318,480134,432539,47595,0,3392,2842,374951,550,32653,8206
6319,467935,422991,44944,0,2902,2382,385155,520,37836,7749
6320,610318,553356,56962,0,3477,2925,482340,552,40962,9821
6321,538409,494642,43767,0,3365,2773,451287,592,43355,7546
6322,1218146,1116617,101529,0,3580,3097,624126,483,43802,17505
6323,534991,488260,46731,0,3358,2806,448552,552,39708,8057
6324,645249,572105,73144,0,4011,3219,515077,792,57028,12611
6325,511115,466171,44944,0,3164,2636,427626,528,38545,7749
6326,594432,549221,45211,0,3490,2962,483458,528,38781,7795
6327,498357,453413,44944,0,3033,2527,415934,506,37479,7749
6328,491374,446221,45153,0,2994,2444,405188,550,41033,7785
6329,511166,467161,44005,0,3158,2652,430222,506,36939,7587
6330,418286,373092,45194,0,2758,2252,338833,506,34259,7792
6331,580180,535439,44741,0,3408,2902,468781,506,36782,7714
6332,570962,526673,44289,0,3862,2743,444984,1119,81689,7636
6333,537870,492212,45658,0,3338,2809,453758,529,38454,7872
6334,469010,423898,45112,0,2758,2279,387270,479,36628,7778
6335,610407,564749,45658,0,2676,2148,331544,528,36674,7872
6336,525573,479498,46075,0,3272,2697,437522,575,41976,7944
6337,521957,476299,45658,0,3178,2628,435303,550,40996,7872
6338,530604,484488,46116,0,3259,2707,443767,552,40721,7951
6339,555046,509388,45658,0,3034,2696,441963,338,24934,7872
6340,469131,422975,46156,0,3543,2991,390541,552,32434,7958
6341,538374,492716,45658,0,3296,2768,453766,528,38950,7872
6342,532125,485922,46203,0,3232,2745,449996,487,35926,7966
6343,556802,511144,45658,0,3503,2927,443268,576,39254,7872
6344,504815,458572,46243,0,3135,2610,419843,525,38729,7973
6345,531620,485962,45658,0,3286,2758,447417,528,38545,7872
6346,573558,527274,46284,0,3379,2851,460543,528,38381,7980
6347,434345,390839,43506,0,2901,2417,358531,484,32308,7501
6348,531703,485373,46330,0,3227,2743,449668,484,35705,7988
6349,514098,465906,48192,0,3121,2593,426798,528,39108,8309
6350,498815,454532,44283,0,3064,2514,413794,550,40738,7635
